Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Education
"data scientist delivery lead
scouters pvt ltd.",scouters pvt ltd.,['india'],4 - 7 years,"['key skills', 'algorithmspythonprototypesasdata mininganalyticsclient managementjavadata scienceanalyticalmachine learninghadoopspssbig data']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization', 'pg :m.tech in ceramics']"
"data scientist (intern)
aichunks private limited",aichunks private limited,['chandigarh'],3 - 8 years,"['key skills', 'computer scienceinternmachine learning']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data scientist - medicare advantage generalist
devoted health",devoted health,['remote'],2 - 6 years,"['key skills', 'health insurancedata scienceanalyticalpharmacyhealthcaremanagementoperationsanalyticssqlrecruitment']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :m.a in journalism']"
"developers, data scientists, web designers, android developers
cogmac technologies",cogmac technologies,['noida'],1 - 5 years,"['key skills', 'computer scienceweb technologiesdeveloperandroid']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst: fresher’s with data analyst certification.
gda security pvt ltd4.5(4 reviews)",gda security pvt ltd4.5(4 reviews),['bengaluru'],0 years,"['key skills', 'data sciencerexcelsasdata analysistableaustatisticspythonsqlbusiness analysis']","₹ 4,00,000 p.a.","['education', 'ug :bca in any specialization, b.tech/b.e. in any specialization, b.sc in any specialization, b.a in any specialization']"
"senior specialist - data analyst
philips india limited4.0(445 reviews)",philips india limited4.0(445 reviews),['bengaluru'],10 - 12 years,"['key skills', 'computer sciencedata analysissasanalyticalhealthcaredata qualityinformation managementbusiness intelligencemacrosanalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
hk solutions",hk solutions,"['chennai', ' delhi ncr', ' bengaluru']",0 - 3 years,"['key skills', 'research analysisdata analysismarket research', 'report preparation', 'skills highlighted with ‘‘ are preferred keyskills']",not disclosed,"['education', 'ug :any graduate in any specialization']"
"merilytics - business analyst - data analytics -iit/nit/bits
meritus intelytics private limited",meritus intelytics private limited,['hyderabad'],0 - 3 years,"['key skills', 'excelanalyticspythondata analysisbusiness analysisproblem solvingsqlstatistics']",not disclosed,"['education', 'ug :any graduate in any specialization, b.tech/b.e. in any specialization', 'pg :mba/pgdm in any specialization', 'doctorate :doctorate not required, any doctorate in any specialization']"
"trainee data analyst
dynata4.1(9 reviews)",dynata4.1(9 reviews),['hyderabad'],0 - 1 years,"['key skills', 'javaplatformsc++surveycxmlprogrammingteam leadingconfirmitquality standards']",not disclosed,"['education', 'ug :bca in computers, b.tech/b.e. in any specialization, b.b.a / b.m.s in management', 'pg :post graduation not required, any postgraduate in any specialization', 'doctorate :doctorate not required, any doctorate in any specialization']"
"analyst - data intelligence group
tresvista financial services pvt ltd",tresvista financial services pvt ltd,"['pune', ' mumbai', ' india']",0 - 1 years,"['key skills', 'data intelligencedata analyticspython', 'javarexcelcvbadbmsmacros', 'skills highlighted with ‘‘ are preferred keyskills']",not disclosed,"['education', 'ug :bca in any specialization, b.tech/b.e. in any specialization']"
"data management analyst
snaphunt",snaphunt,['mumbai'],0 - 5 years,"['key skills', 'integration servicesreporting servicesssasanalysis servicesssrsdata managementsql serverdata warehousingssisetl']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"senior data analyst - ingram micro
ingram micro3.8(316 reviews)",ingram micro3.8(316 reviews),['mumbai'],5 - 10 years,"['key skills', 'power bidata warehousingetl', 'ssmsssrsbiolaptableaussissqlssasdata visualizationdashboardsqlikview', 'skills highlighted with ‘‘ are preferred keyskills']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization, b.sc in any specialization, bca in any specialization', 'pg :any postgraduate in any specialization']"
"data scientist professional
cognitive infotech (india) pvt. ltd",cognitive infotech (india) pvt. ltd,['bengaluru'],3 - 6 years,"['key skills', 'anomaly detectionci/cd pipelinestime series analysisdata scientistmachine learningsensor datadeep learning']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data entry analyst
digi verve technologies private limited",digi verve technologies private limited,['bengaluru'],0 - 2 years,"['key skills', 'analystdata entry']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst /data engineer
inflexion analytix private limited",inflexion analytix private limited,['chennai'],0 - 2 years,"['key skills', 'business intelligencepower biartificial intelligencedata managementneural networksbig datamcatableaumachine learningstatisticsb.techdeep learningsqlengineeringcloud computingdata analysisplsqlmba fresherdata warehousingdata analyticspython']","₹ 3,50,000 - 4,50,000 p.a.","['education', 'ug :b.sc in any specialization, bca in any specialization, b.tech/b.e. in any specialization, diploma in any specialization', 'pg :any postgraduate in any specialization']"
"senior sourcing data analyst - coupa/erp/jaggaer
technicolor4.1(55 reviews)",technicolor4.1(55 reviews),['bengaluru'],3 - 10 years,"['key skills', 'erpdata managementrfxaccess managementspend analysisrfqrfpoperationsmonitoringdata extraction']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"senior data analyst
altisource business solutions pvt ltd3.4(501 reviews)",altisource business solutions pvt ltd3.4(501 reviews),['bengaluru'],5 - 10 years,"['key skills', 'career developmentnosqlrdbmstalent acquisitionbusiness analyticsmysqlsenior data analystmongodbpentahosql']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
increasingly technologies",increasingly technologies,['bengaluru'],0 - 4 years,"['key skills', 'retailautomationmanager technologymanualapplication developmenthttpdata analystresearch']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
healthifyme3.4(47 reviews)",healthifyme3.4(47 reviews),['bengaluru'],0 - 2 years,"['key skills', 'customer acquisitionfrenchsalessql databaseanalyticaldatabasegermandata analystmicrosoftdata warehousing']",not disclosed,"['education', 'ug :b.tech/b.e. in computers', 'pg :m.tech in computers']"
"data analyst
federation of indo israeli chambers of commerce",federation of indo israeli chambers of commerce,['mysore'],0 - 3 years,"['key skills', 'exceldata analysispivot', 'microsoft power bioperations researchdata collectionlookupdata analyticsstatistics', 'skills highlighted with ‘‘ are preferred keyskills']",not disclosed,"['education', 'ug :b.sc in any specialization, b.ed in education']"
"data governance analyst
mchoovers consulting",mchoovers consulting,['delhi ncr'],0 - 5 years,"['key skills', 'leadershipwriting skillseffective communication skillsanalyticalproblem solvingconsultingcomputer scienceiimdata governance']","₹ 6,00,000 - 11,00,000 p.a.","['education', 'pg :mba/pgdm in any specialization']"
"senior data/business intelligence analyst - artificial intelligence
intello labs private limited4.5(4 reviews)",intello labs private limited4.5(4 reviews),['gurgaon'],3 - 5 years,"['key skills', 'data sciencebusiness intelligencernosqlbusiness analystartificial intelligencedata analystmachine learningreporting toolspython']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"digital data analyst | wfh
darshan soft-tech pvt. ltd3.5(13 reviews)",darshan soft-tech pvt. ltd3.5(13 reviews),"['chennai', ' pune', ' delhi ncr', ' mumbai', ' ahmedabad', ' bengaluru', ' hyderabad', ' jaipurview more']",3 - 6 years,"['key skills', 'macrosdata managementdata analysisgoogle data studioback officegoogle analyticsadvanced excelvlookupanalytical skillshlookupeventscommunication skills']","₹ 3,00,000 - 8,00,000 p.a.","['education', 'ug :any graduate in any specialization, graduation not required', 'pg :any postgraduate in any specialization, post graduation not required', 'doctorate :doctorate not required, any doctorate in any specialization']"
"trainee business analyst big data analysis
allerin technologies pvt ltd.",allerin technologies pvt ltd.,['mumbai'],0 - 1 years,"['key skills', 'copyrightdata analysischange managementcodingdata modelingumlfunctional testingbig datatrainee business analystcustomer interaction']",not disclosed,"['education', 'ug :b.sc in computers, bca in computers, b.tech/b.e. in computers', 'pg :mca in computers, m.tech in computers']"
"data research analyst
adviserlogic software private limited",adviserlogic software private limited,['mumbai'],0 - 3 years,"['key skills', 'manager quality assurancecash flow statementdata collectiondata research analystdata qualitymarket datacontinuous improvementoperationsbalance sheetrecruitment']",not disclosed,"['education', 'ug :b.b.a / b.m.s in management, any graduate in any specialization, b.com in commerce', 'pg :mba/pgdm in marketing, m.com in commerce, any postgraduate in any specialization']"
"data analyst
ressex",ressex,['mumbai'],0 - 5 years,"['key skills', 'strong analytical skillsprocess improvementreport writingdata collectiondata analystdata visualizationmscstatisticssqlpython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst - bond & bank loan ratings
smera ratings limited.3.0(51 reviews)",smera ratings limited.3.0(51 reviews),['mumbai'],0 - 3 years,"['key skills', 'health insurancerating analystfinancial statementsdue diligencevlookupfinancedata analystcredit ratingbalance sheetdata entry']",not disclosed,"['education', 'ug :b.b.a / b.m.s in management, b.com in commerce', 'pg :post graduation not required']"
"data research analyst
morningstar4.0(116 reviews)",morningstar4.0(116 reviews),['mumbai'],0 - 3 years,"['key skills', 'manager quality assurancecash flow statementdata collectiondata research analystdata qualitymarket datacontinuous improvementoperationsbalance sheetrecruitment']",not disclosed,"['education', 'ug :b.b.a / b.m.s in management, b.com in commerce, any graduate in any specialization', 'pg :any postgraduate in any specialization, m.com in commerce, mba/pgdm in marketing']"
"data analyst
anyone home4.4(15 reviews)",anyone home4.4(15 reviews),['pune'],0 - 3 years,"['key skills', 'it servicescomputer sciencehealth insurancemetadataflexdata integritydata analysttroubleshootingdata entrycrm']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"data analyst / business analyst
altisource3.4(501 reviews)",altisource3.4(501 reviews),['bengaluru'],1 - 6 years,"['key skills', 'analystexcel advancedata analysisdataanalysisbusiness analysissql']",not disclosed,"['education', 'ug :graduation not required, any graduate in any specialization', 'pg :any postgraduate in any specialization, post graduation not required', 'doctorate :any doctorate in any specialization, doctorate not required']"
"salesforce data analyst
sahasya global solutions4.5(4 reviews)",sahasya global solutions4.5(4 reviews),['hyderabad'],0 - 5 years,"['key skills', 'it servicesdata migrationdevelopmenttechnicallevelsystem programmingdata analystitanalyticsoffshoreinformation securityconsultingiso 27001cmmisalesforce']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst-internship
perkin elmer india pvt ltd3.8(53 reviews)",perkin elmer india pvt ltd3.8(53 reviews),['hyderabad'],0 years,"['key skills', 'sapbusiness analyticsdata analystinternshipinventorylotus notes']",not disclosed,"['education', 'ug :b.a in other specialization', 'pg :post graduation not required']"
"data analyst
netomi",netomi,['gurgaon'],0 - 1 years,"['key skills', 'deep learningmanager quality assurancefrenchbusiness analysisartificial intelligencemanager technologydata qualityspanishdata analystcustomer service']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"junior data analyst
weatherbug",weatherbug,['gurgaon'],0 - 1 years,"['key skills', 'computer sciencecareer developmentlinuxmanager technologyspanishdata analystanalyticssqlpython']",not disclosed,"['education', 'ug :b.sc in chemistry, b.tech/b.e. in any specialization', 'pg :post graduation not required']"
"lead/senior analyst – data visualization
cvent india pvt. ltd.3.3(111 reviews)",cvent india pvt. ltd.3.3(111 reviews),['gurgaon'],4 - 8 years,"['key skills', 'spotfiredata visualizationtableauqlikviewsqlbirst']",not disclosed,"['education', 'ug :graduation not required']"
"data analyst - mysql/postgresql
astegic
hiring for leading client",astegic,"['pune', ' mumbai', ' bengaluru', ' hyderabad', ' noida', ' jaipur']",5 - 10 years,"['key skills', 'oracle dbdata integrityexcelshell scriptingpostgresqlmysqldata analyticsanalyticssql']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization, b.sc in any specialization, bca in computers', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"sr. ms bi developer/data analyst/lead - ssis/ssrs/ssas
hexaware technologies ltd.3.4(1244 reviews)",hexaware technologies ltd.3.4(1244 reviews),"['chennai', ' pune', ' mumbai', ' hyderabad']",4 - 9 years,"['key skills', 'azuressasssrsmsbisql serverssisawssql']",not disclosed,"['education', 'ug :any graduate in any specialization']"
"senior solution deployment strategist(data analyst)
pentagon consultancy services",pentagon consultancy services,['mumbai'],2 - 4 years,"['key skills', 'bpologistic regressionsas macrospayrollstatistical modelingstaffingrisk analyticsanalyticaltoolsdata analyst']",not disclosed,"['education', 'ug :b.tech/b.e. in computers', 'pg :m.tech in computers']"
"hiring data analysts on contract third party payroll
flipkart internet private limited4.2(2542 reviews)",flipkart internet private limited4.2(2542 reviews),['bengaluru'],2 - 6 years,"['key skills', 'business intelligenceautomationbusiness analyticsdata miningmachine learninganalyticssqlbusiness analysisexceldata analysisdata visualizationdata analyticspython']","₹ 2,50,000 - 6,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"specialist i / ii - data analyst
philips india limited4.0(445 reviews)",philips india limited4.0(445 reviews),['bengaluru'],5 - 7 years,"['key skills', 'computer sciencedata analysissasagilehealthcareqlikviewbusiness intelligencemacrosanalyticspython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"hiring for data analyst re) - bangalore
teleperformance global services3.6(3870 reviews)",teleperformance global services3.6(3870 reviews),['bengaluru( bellandur )'],2 - 6 years,"['key skills', 'vbapower bidata analysis', 'excelreport generationchartsdashboardsoperationssqlpython', 'skills highlighted with ‘‘ are preferred keyskills']","₹ 3,00,000 - 5,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"procurement data analyst
schneider electric4.2(1178 reviews)",schneider electric4.2(1178 reviews),['bengaluru'],1 - 3 years,"['key skills', 'tableuprocurementdata qualitysupplier performancedata analysis']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization, post graduation not required', 'doctorate :doctorate not required, any doctorate in any specialization']"
"reliability data analyst
alstom transport india ltd.4.0(235 reviews)",alstom transport india ltd.4.0(235 reviews),['bengaluru'],3 - 8 years,"['key skills', 'ram processdatabase managementdata analysisdata analystreliability data analyst']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data analyst
ibm india pvt. limited4.0(8564 reviews)",ibm india pvt. limited4.0(8564 reviews),['bengaluru'],5 - 10 years,"['key skills', 'conditionbusiness intelligencedata reconciliationscrum masteragiledata analysisdata cleansingsql queriesetlinformation system']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data analyst/sr. data analyst, edureka
edureka!3.4(26 reviews)",edureka!3.4(26 reviews),['bengaluru'],4 - 7 years,"['key skills', 'e-learningpdfsasweb analyticssenior analystsenior data analystcustomer supportcustomer serviceqlikviewquantitative analysis']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"data analyst
moglix3.3(40 reviews)",moglix3.3(40 reviews),['noida'],0 - 2 years,"['key skills', 'google analyticsexceladobe analyticssalesweb salesmysqlsales analyticsdata analyst']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"sr . data analyst
spectrum talent management3.4(80 reviews)",spectrum talent management3.4(80 reviews),['bengaluru'],8 - 10 years,"['key skills', 'it servicesapplication programmingdatastagedata qualityoraclessisdata mininginformation technologysqlrecruitment']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"junior data analyst
sicuremi healthcare technologies",sicuremi healthcare technologies,['delhi'],0 - 2 years,"['key skills', 'monitoringremedyjunior data analyst']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data governance analyst
serigor inc.4.5(2 reviews)",serigor inc.4.5(2 reviews),['delhi'],0 - 4 years,"['key skills', 'computer scienceanalystmetadatadata managementdata securityenterprise architecturedata qualitybusiness intelligenceenterprise content managementanalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"business analyst /sr business analyst( data)- concentrix
concentrix daksh services4.0(7344 reviews)",concentrix daksh services4.0(7344 reviews),"['delhi ncr', ' bengaluru', ' hyderabad']",7 - 12 years,"['key skills', 'power birequirement gatheringagilejirasharepointprocess flowbusiness analysis']","₹ 8,00,000 - 17,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"senior data analyst, dbxb
dun & bradstreet information services india private limited3.6(94 reviews)",dun & bradstreet information services india private limited3.6(94 reviews),['hyderabad'],5 - 10 years,"['key skills', 'computer sciencedata analysisdata modelingxmldata structuresdata qualitymongodbdata mappingjirasql']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"senior data analyst
smart minds",smart minds,['hyderabad'],7 - 12 years,"['key skills', 'consumer electronicsrmysqldata analysisteradatapython']",not disclosed,"['education', 'ug :any graduate in any specialization']"
"data transformation analyst i - l3
vipany management consulting pvt ltd.",vipany management consulting pvt ltd.,['hyderabad'],0 - 2 years,"['key skills', 'financial statementsdata transformationprivate equityfinancial reportingproject managementsubject matter expertisefinancefinancial accountingadvanced excelanalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"senior data research analyst
morningstar4.0(116 reviews)",morningstar4.0(116 reviews),"['mumbai', ' hyderabad', ' gurgaon']",3 - 6 years,"['key skills', 'automationoperations managermanager quality assurancedata managementanalyticalequitydata collectionifrsoperationsbalance sheet']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"senior hris data analyst
execboardinasia",execboardinasia,['gurgaon'],5 - 10 years,"['key skills', 'hrisdata securityworkforce planningend user supportdata analysthroracletroubleshootingbusiness continuityanalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
decision point analytics3.1(22 reviews)",decision point analytics3.1(22 reviews),['gurgaon'],0 - 2 years,"['key skills', 'analytical skillsanalystms sqldata servicesexcelmysqldatabase administrationdata analystsql dbapython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data science engineer - etl/python/r
data labs",data labs,['pune'],0 - 1 years,"['key skills', 'data scienceapplication designingbusiness intelligencerdata managementdbmstableauetlinternshippython']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization, b.sc in any specialization, bca in computers', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data analyst
ladder of changes
hiring for leading client",ladder of changes,['bengaluru'],0 - 5 years,"['key skills', 'data analyticsdata scientistdecision scientistbusiness objectsdata analyst']",not disclosed,"['education', 'ug :b.sc in maths, computers, statistics', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"sr data analyst | fortune 500 client
ansr global corporation private limited3.2(6 reviews)",ansr global corporation private limited3.2(6 reviews),['bengaluru'],5 - 8 years,"['key skills', 'nosqlrelational sqlkinesisbig datakafkadatadata streamingdata architectureanalyticsstakeholder managementbi reporting']","₹ 25,00,000 - 27,50,000 p.a.","['education', 'ug :any graduate in any specialization']"
"senior data analyst i | fortune 500 client
ansr global corporation private limited3.2(6 reviews)",ansr global corporation private limited3.2(6 reviews),['bengaluru'],5 - 8 years,"['key skills', 'business intelligencekibanastormpower bibig datakafkadata streamingtableausqldata analysissparkdata architectured3.js']","₹ 25,00,000 - 27,50,000 p.a.","['education', 'ug :any graduate in any specialization']"
"senior data analyst
monty telecom development private limited",monty telecom development private limited,['bengaluru( 5th block koramangala )'],3 - 6 years,"['key skills', 'excelstatistical toolsperiscopedata analysisbusiness insightstableaudashboardsstatisticssqlbusiness analysis']",not disclosed,"['education', 'ug :any graduate in any specialization']"
"data analyst | long-term contract role | flipkart internet pvt. ltd
flipkart4.2(2542 reviews)",flipkart4.2(2542 reviews),['bengaluru'],2 - 7 years,"['key skills', 'sqldashboardspython', 'business analyticsprogrammingregressionforecastingbusiness analysisexcelacumenvbaconsultingdata analysisr programming', 'skills highlighted with ‘‘ are preferred keyskills']","₹ 5,00,000 - 7,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"data analyst - senior
blue ocean catalyst private limited",blue ocean catalyst private limited,['bengaluru'],5 - 8 years,"['key skills', 'unixcomputer sciencedata analysissasanalyticalcosmeticsms officecrmsqllogistics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"hiring data analysts
flipkart4.2(2542 reviews)",flipkart4.2(2542 reviews),['bengaluru'],1 - 6 years,"['key skills', 'excelbusiness analyticsanalysisdata analysisdata visualizationdata miningdata analyticsanalyticssqlbusiness analysis']","₹ 1,00,000 - 6,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"senior software developer - nlp/machine learning/data science
cunesoft",cunesoft,['bengaluru'],5 - 8 years,"['key skills', 'c#linqartificial intelligencedata managementdata miningjquerymachine learningnlpjava script.netasp.netentity frameworkmvcpython']",not disclosed,"['education', 'ug :bca in computers, b.sc in any specialization, b.tech/b.e. in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"senior software developer - nlp/ machine learning/ data science
cunesoft",cunesoft,['bengaluru'],5 - 8 years,"['key skills', 'data sciencec#nlpartificial intelligencedata mining.netmvcmachine learningpython']",not disclosed,"['education', 'ug :bca in computers, b.sc in computers, b.tech/b.e. in computers', 'pg :mca in computers, m.tech in computers, ms/m.sc(science) in computers', 'doctorate :doctorate not required']"
"data analyst (user acquisition)
kwalee ltd.",kwalee ltd.,['bengaluru'],0 - 2 years,"['key skills', 'rnosqldata analysisdata analyticsanalyticspythonsql']",not disclosed,"['education', 'ug :b.sc in electronics, maths, chemistry, physics, computers, statistics']"
"analyst/sr analyst - data mapping & analysis (for a banking captive)
renascence talent solutions (opc) private limited",renascence talent solutions (opc) private limited,['bengaluru'],6 - 11 years,"['key skills', 'risk reportingregulatory reportingus gaapaudit analyticsdata analysissql queriesdata mapping']","₹ 15,00,000 - 25,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"data analyst
bourgeois analytics pvt. ltd.",bourgeois analytics pvt. ltd.,['jaipur'],0 - 1 years,"['key skills', 'excelwordshare marketdata analysisequitysharesonline trading']",not disclosed,"['education', 'ug :any graduate in any specialization']"
"data center ops senior analyst
ntt data3.6(2029 reviews)",ntt data3.6(2029 reviews),['bengaluru'],3 - 5 years,"['key skills', 'business processit servicesunixanalystchange managementautomationtechnology managementdata servicesconsultingoperations']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data center ops senior analyst
ntt data3.6(2029 reviews)",ntt data3.6(2029 reviews),['bengaluru'],3 - 5 years,"['key skills', 'it servicesbusiness processanalystautomationchange managementtechnology managementdata servicesconsultingwindowsoperations']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
jobitus",jobitus,['surat'],0 - 3 years,"['key skills', 'business administrationadministrationoperating systemsvlookupoffice administrationdata analystms officeaccounting softwarecomputer operatingdata entry']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :ca in ca']"
"senior data analyst
snaphunt",snaphunt,['bengaluru'],4 - 9 years,"['key skills', 'knowledge sharingdata manipulationcomputer sciencedata analysiscareer developmentdata analyticsapplied mathematicspython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"data analyst
teplar solutions",teplar solutions,['coimbatore'],0 - 4 years,"['key skills', 'analyticallitigationworkflowcustomer supportbusiness development executiveclient interactiondata analystms officeanalyticspython']",not disclosed,"['education', 'ug :b.tech/b.e. in production/industrial, b.sc in chemistry', 'pg :any postgraduate in any specialization']"
"busness analyst - sap customer data cloud/gigya
itc infotech india3.4(824 reviews)",itc infotech india3.4(824 reviews),['bengaluru'],8 - 10 years,"['key skills', 'delivery managementsaptechnical writingclient servicingcloudagilemanager technologyresearchjirainformation technology']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"senior associate - data analyst
pearson4.1(39 reviews)",pearson4.1(39 reviews),['chennai'],2 - 4 years,"['key skills', 'performance tuningdata modelingmysqldata structuresperljsonoraclessisbusiness intelligencepython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
imperial training & consulting",imperial training & consulting,"['greater noida', ' noida']",0 - 2 years,"['key skills', 'lead generationdata analysisdata managementdata analystdata miningdata extractiondata profiling']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
kalakaari studios",kalakaari studios,['indore'],0 - 2 years,"['key skills', 'marketing strategiesdata analysisdata analyst']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
salve software services3.8(4 reviews)",salve software services3.8(4 reviews),['nagpur'],0 - 2 years,"['key skills', 'c++excelcodingdata analystms word']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst
masycoda solutions",masycoda solutions,['nagpur'],0 - 3 years,"['key skills', 'ms sqlpdfanalyticaltrend analysisschedulingdata analystssisbusiness intelligencedata miningdata warehousing']",not disclosed,"['education', 'ug :b.tech/b.e. in production/industrial', 'pg :m.tech in electronics/telecommunication, ms/m.sc(science) in chemistry, mca in computers']"
"reporting and data analyst
finejobs consultant private limited4.0(2 reviews)",finejobs consultant private limited4.0(2 reviews),['noida'],0 - 1 years,"['key skills', 'bpoanalytical skillsmis reportingexecutiveexcelcustomer supportdata analystitesresearchpowerpoint']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data analyst - looker
vinayak software",vinayak software,['delhi'],0 - 1 years,"['key skills', 'metadatatableaucodingdata modelingconsultingdata analystsubject matter expertanalyticsmonitoringsql']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"scientific data research analyst
e-merge tech global services pvt ltd3.1(20 reviews)",e-merge tech global services pvt ltd3.1(20 reviews),['chennai'],0 - 3 years,"['key skills', 'translationtranscriptiondata research analystbiochemistryresearchmolecular biology']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"analyst-data analytics
nielsen3.8(402 reviews)",nielsen3.8(402 reviews),['vadodara'],0 - 2 years,"['key skills', 'statistical modelingsastime managementmarket researchm&aactuarialdata analyticsmanagementquality analysisconsumer goods']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"hr data management - analyst
cargill india pvt. ltd.4.3(433 reviews)",cargill india pvt. ltd.4.3(433 reviews),"['india', 'karnataka']",0 - 2 years,"['key skills', 'analytical skillsroot cause analysisexceldata managementhrdata integritydata management analystdata qualitybusiness hrprincipal']",not disclosed,"['education', 'ug :b.com in commerce', 'pg :mba/pgdm in marketing']"
"senior data analyst
dynata4.1(9 reviews)",dynata4.1(9 reviews),['hyderabad'],2 - 5 years,"['key skills', 'quantum and sawtooth knowledge and experiencedata analysisspss']",not disclosed,"['education', 'ug :b.sc in any specialization, b.tech/b.e. in any specialization, bca in any specialization']"
"hiring data analyst/business strategist - hyderabad
heritage foods india4.0(517 reviews)",heritage foods india4.0(517 reviews),['hyderabad'],1 - 2 years,"['key skills', 'sap ficoexcel powerpointvlookupdata analysisadvanced excelms office wordhlookup']","₹ 5,00,000 - 6,00,000 p.a.","['education', 'pg :ca in ca']"
"senior analyst / analyst - it data tools
sg analytics pvt. ltd.3.2(53 reviews)",sg analytics pvt. ltd.3.2(53 reviews),['hyderabad( banjara hills )'],4 - 8 years,"['key skills', 'data modellingrevenue analysisadvanced excelforecastingstatisticsbalance sheetms sqlsecondary researchvbait consultingdata manipulationict spending trendsmarket sizinglarge data setsquantitative researchpython']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization, b.a in economics, maths', 'pg :mba/pgdm in any specialization']"
